iter	Logloss
0	0.5953905029
1	0.5337339478
2	0.488918457
3	0.4578331299
4	0.433102356
5	0.4143903198
6	0.3989497375
7	0.3879449463
8	0.3794903259
9	0.3723920898
10	0.3676885071
11	0.3619905701
12	0.3573121948
13	0.3547653198
14	0.3518026123
15	0.3491721802
16	0.3457325439
17	0.3444581909
18	0.3427819519
19	0.3414627075
20	0.3400328064
21	0.3391754761
22	0.3380837402
23	0.3362892761
24	0.335743866
25	0.3348419189
26	0.3341887207
27	0.3334655762
28	0.3322327271
29	0.3314166565
30	0.3310427246
31	0.3307513733
32	0.330336853
33	0.3298079224
34	0.3284293823
35	0.3277035522
36	0.3273297729
37	0.3265798645
38	0.3261286316
39	0.3255518799
40	0.3252557373
41	0.3250380554
42	0.3246958923
43	0.324229126
44	0.323979248
45	0.3237575073
46	0.3234194946
47	0.3231999512
48	0.3224738159
49	0.3222435303
50	0.3220062561
51	0.3215407104
52	0.3211466675
53	0.3207782593
54	0.3205949707
55	0.3204927673
56	0.3201320801
57	0.3199718628
58	0.319740448
59	0.3194701843
60	0.3193217773
61	0.3189023132
62	0.3185527954
63	0.3181784058
64	0.3179378662
65	0.31771521
66	0.3172687378
67	0.3171293335
68	0.3162934265
69	0.3159923096
70	0.3157031555
71	0.3153850098
72	0.3152520142
73	0.3150376587
74	0.3147166748
75	0.3144933777
76	0.3139991455
77	0.3136879272
78	0.3133925476
79	0.3130753784
80	0.3127276001
81	0.3124825134
82	0.3122435303
83	0.311911438
84	0.3116542969
85	0.3114995117
86	0.311166626
87	0.3109569397
88	0.3107322693
89	0.3104504089
90	0.3103126831
91	0.3099127808
92	0.3097164917
93	0.3095994263
94	0.3095503845
95	0.309298584
96	0.3089960937
97	0.3085806274
98	0.308368988
99	0.3081453857
