iter	Passed	Remaining
0	1	145
1	2	126
2	3	118
3	4	113
4	5	110
5	6	108
6	8	107
7	9	105
8	10	104
9	11	103
10	12	101
11	13	100
12	14	98
13	15	98
14	17	96
15	18	95
16	19	94
17	20	93
18	21	92
19	22	91
20	23	89
21	25	88
22	26	87
23	27	85
24	28	84
25	29	83
26	30	82
27	31	81
28	32	80
29	33	79
30	35	78
31	36	77
32	37	75
33	38	74
34	39	73
35	40	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	64	48
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	74	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	89	23
79	90	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	110	3
97	111	2
98	112	1
99	113	0
