iter	Logloss
0	0.6734194336
1	0.6542697754
2	0.6364422607
3	0.6199439697
4	0.6042359619
5	0.5893446045
6	0.5754311523
7	0.5622491455
8	0.5491464844
9	0.5374315186
10	0.5266782837
11	0.5175739746
12	0.5088497925
13	0.5007388
14	0.4938009033
15	0.4873684692
16	0.4797627869
17	0.4732442932
18	0.4673542175
19	0.4603723755
20	0.4555772705
21	0.4501069031
22	0.4444866333
23	0.4394041138
24	0.4341287842
25	0.4299036255
26	0.4260715027
27	0.4218444214
28	0.4178269043
29	0.4140473328
30	0.4113362427
31	0.4073395996
32	0.4036927185
33	0.4005280457
34	0.3980610352
35	0.3953836365
36	0.3927891235
37	0.3897935791
38	0.3875122681
39	0.3850518799
40	0.382574585
41	0.3803509827
42	0.3782232056
43	0.3767154236
44	0.3744826355
45	0.372637207
46	0.3711287537
47	0.3696951294
48	0.3683665466
49	0.3669665527
50	0.365453186
51	0.3641891785
52	0.3630751343
53	0.3619668884
54	0.3604890137
55	0.3594425659
56	0.3585905151
57	0.3578620911
58	0.3566087646
59	0.3559206238
60	0.3553227234
61	0.3546307373
62	0.3536331177
63	0.3526588135
64	0.3518875122
65	0.3512580566
66	0.350378479
67	0.3496914368
68	0.3491655273
69	0.3486295166
70	0.3478786011
71	0.347447998
72	0.3467867432
73	0.3461525574
74	0.3456459351
75	0.3450209961
76	0.3445559692
77	0.343745697
78	0.3429986877
79	0.3425223999
80	0.3421722412
81	0.3416705933
82	0.3412822266
83	0.3408452454
84	0.3402346497
85	0.3395310059
86	0.3391945801
87	0.3387981567
88	0.3383877563
89	0.3379511108
90	0.3375988159
91	0.3372434692
92	0.3367397461
93	0.3362512207
94	0.3360041504
95	0.3355255127
96	0.3351828003
97	0.3347622375
98	0.3344153748
99	0.3340921326
100	0.3338214722
101	0.33357901
102	0.333024353
103	0.3326461792
104	0.3324455566
105	0.3320528564
106	0.3317469788
107	0.331447876
108	0.3311394348
109	0.3307843628
110	0.3304611511
111	0.330194519
112	0.3300170898
113	0.3295105286
114	0.3292547302
115	0.3290744324
116	0.3287979126
