iter	Passed	Remaining
0	3	3406
1	6	3174
2	9	3057
3	12	3038
4	14	2962
5	17	2912
6	20	2910
7	23	2879
8	26	2866
9	28	2847
10	31	2831
11	33	2794
12	36	2783
13	39	2770
14	42	2769
15	45	2772
16	47	2764
17	50	2761
18	53	2757
19	56	2751
20	58	2749
21	61	2746
22	64	2739
23	67	2736
24	70	2734
25	72	2723
26	75	2727
27	78	2724
28	81	2722
29	84	2721
30	86	2714
31	89	2710
32	92	2713
33	95	2709
34	98	2709
35	101	2704
36	103	2698
37	106	2695
38	109	2691
39	111	2686
40	114	2683
41	117	2680
42	120	2676
43	122	2672
44	125	2667
45	128	2665
46	131	2663
47	134	2660
48	136	2657
49	139	2654
50	142	2650
51	145	2647
52	148	2645
53	150	2642
54	153	2638
55	156	2636
56	160	2649
57	163	2657
58	167	2667
59	170	2671
60	174	2690
61	178	2697
62	181	2700
63	184	2697
64	187	2695
65	191	2703
66	194	2704
67	197	2702
68	199	2697
69	202	2692
70	205	2694
71	208	2690
72	211	2686
73	214	2681
74	217	2677
75	219	2673
76	222	2671
77	225	2667
78	228	2663
79	231	2660
80	233	2651
81	236	2650
82	239	2646
83	242	2642
84	245	2638
85	247	2634
86	250	2630
87	253	2628
88	256	2625
89	259	2622
90	262	2618
91	265	2615
92	267	2611
93	270	2611
94	273	2607
95	276	2604
96	279	2600
97	282	2596
98	285	2594
99	287	2591
100	290	2587
101	293	2584
102	296	2581
103	299	2577
104	302	2574
105	304	2571
106	307	2567
107	310	2564
108	313	2560
109	316	2556
110	318	2553
111	321	2549
112	324	2546
113	327	2542
114	330	2540
115	332	2537
116	335	2534
117	338	2530
118	341	2527
119	344	2523
120	346	2519
121	349	2516
122	352	2512
123	355	2508
124	357	2505
125	360	2502
126	363	2498
127	366	2495
128	369	2492
129	371	2489
130	374	2486
131	377	2482
132	380	2479
133	383	2477
134	386	2474
135	388	2471
136	391	2468
137	394	2464
138	397	2460
139	400	2458
140	402	2454
141	405	2452
142	408	2448
143	411	2445
144	414	2441
145	417	2440
146	419	2436
147	422	2433
148	425	2429
149	428	2426
150	430	2422
151	433	2416
152	435	2413
153	438	2410
154	441	2406
155	444	2403
156	446	2399
157	449	2396
158	452	2393
159	455	2390
160	458	2387
161	460	2384
162	463	2380
163	466	2379
164	469	2375
165	472	2372
166	475	2369
167	477	2366
168	480	2363
169	483	2360
170	486	2356
171	488	2354
172	491	2350
173	494	2347
174	497	2344
175	499	2340
176	502	2337
177	505	2334
178	508	2330
179	510	2327
180	513	2325
181	516	2321
182	519	2318
183	522	2315
184	524	2312
185	527	2309
186	530	2307
187	533	2303
188	536	2300
189	538	2297
190	541	2294
191	544	2291
192	547	2288
193	550	2285
194	552	2282
195	555	2279
196	558	2276
197	561	2273
198	563	2269
199	566	2267
200	569	2264
201	571	2258
202	574	2255
203	577	2252
204	580	2249
205	582	2246
206	585	2243
207	588	2240
208	591	2237
209	593	2234
210	596	2230
211	599	2227
212	602	2224
213	604	2221
214	607	2218
215	610	2214
216	612	2211
217	615	2208
218	618	2205
219	621	2202
220	623	2199
221	627	2197
222	629	2194
223	632	2191
224	635	2188
225	638	2185
226	640	2182
227	643	2180
228	646	2177
229	649	2174
230	652	2171
231	654	2168
232	657	2164
233	660	2162
234	663	2159
235	666	2156
236	669	2154
237	671	2150
238	674	2148
239	677	2145
240	680	2143
241	683	2139
242	685	2136
243	688	2134
244	691	2131
245	694	2128
246	697	2125
247	700	2123
248	702	2120
249	705	2116
250	708	2114
251	711	2111
252	714	2109
253	717	2106
254	720	2103
255	722	2100
256	725	2098
257	728	2095
258	731	2092
259	734	2089
260	736	2086
261	739	2083
262	742	2081
263	745	2078
264	748	2075
265	751	2072
266	753	2069
267	756	2067
268	759	2064
269	762	2061
270	765	2058
271	768	2055
272	770	2052
273	773	2049
274	776	2047
275	779	2044
276	782	2041
277	785	2038
278	787	2036
279	791	2034
280	793	2031
281	796	2028
282	799	2025
283	802	2022
284	805	2020
285	808	2018
286	811	2015
287	814	2013
288	817	2010
289	820	2008
290	823	2005
291	826	2003
292	829	2000
293	831	1997
294	834	1994
295	838	1993
296	841	1991
297	844	1988
298	847	1986
299	851	1986
300	854	1983
301	856	1980
302	859	1977
303	862	1974
304	865	1971
305	867	1968
306	870	1965
307	873	1962
308	876	1959
309	879	1956
310	881	1953
311	884	1951
312	887	1948
313	890	1945
314	893	1942
315	895	1939
316	898	1936
317	901	1933
318	904	1930
319	907	1927
320	909	1924
321	912	1921
322	915	1919
323	918	1916
324	921	1913
325	923	1910
326	926	1907
327	929	1904
328	932	1901
329	935	1898
330	937	1895
331	940	1893
332	943	1890
333	946	1887
334	949	1884
335	952	1881
336	954	1877
337	957	1874
338	960	1871
339	962	1868
340	965	1866
341	968	1863
342	971	1860
343	974	1858
344	977	1855
345	980	1852
346	983	1850
347	986	1847
348	989	1845
349	992	1842
350	994	1839
351	998	1837
352	1000	1834
353	1003	1832
354	1006	1829
355	1009	1826
356	1012	1824
357	1015	1821
358	1018	1818
359	1021	1816
360	1024	1813
361	1027	1810
362	1030	1807
363	1033	1805
364	1035	1802
365	1038	1799
366	1041	1796
367	1044	1793
368	1047	1790
369	1049	1787
370	1052	1784
371	1055	1781
372	1058	1778
373	1061	1776
374	1063	1773
375	1066	1770
376	1069	1767
377	1072	1764
378	1075	1761
379	1078	1758
380	1080	1756
381	1083	1753
382	1086	1750
383	1089	1747
384	1092	1744
385	1095	1741
386	1097	1739
387	1100	1736
388	1103	1733
389	1106	1730
390	1109	1727
391	1112	1725
392	1115	1722
393	1117	1719
394	1120	1716
395	1123	1713
396	1126	1711
397	1129	1708
398	1132	1705
399	1135	1702
400	1137	1699
401	1140	1696
402	1143	1694
403	1146	1691
404	1149	1688
405	1152	1685
406	1154	1682
407	1157	1679
408	1160	1677
409	1163	1674
410	1166	1671
411	1169	1668
412	1171	1665
413	1174	1662
414	1177	1660
415	1180	1657
416	1183	1654
417	1186	1651
418	1188	1648
419	1191	1645
420	1194	1642
421	1197	1639
422	1200	1637
423	1202	1634
424	1205	1631
425	1208	1628
426	1211	1625
427	1214	1622
428	1217	1620
429	1219	1617
430	1222	1614
431	1225	1611
432	1228	1608
433	1231	1605
434	1234	1603
435	1236	1600
436	1239	1597
437	1242	1594
438	1245	1591
439	1248	1588
440	1251	1585
441	1253	1583
442	1256	1580
443	1259	1577
444	1262	1574
445	1265	1571
446	1268	1568
447	1270	1565
448	1273	1563
449	1276	1560
450	1279	1557
451	1282	1554
452	1285	1551
453	1287	1548
454	1290	1546
455	1293	1543
456	1296	1540
457	1299	1537
458	1302	1534
459	1304	1531
460	1307	1529
461	1310	1526
462	1313	1523
463	1316	1520
464	1319	1517
465	1322	1515
466	1325	1512
467	1328	1509
468	1330	1506
469	1333	1503
470	1336	1501
471	1339	1498
472	1342	1495
473	1345	1492
474	1347	1489
475	1350	1486
476	1353	1483
477	1356	1481
478	1359	1478
479	1361	1475
480	1364	1472
481	1367	1469
482	1370	1466
483	1373	1463
484	1375	1461
485	1378	1458
486	1381	1455
487	1384	1452
488	1387	1449
489	1390	1446
490	1392	1443
491	1395	1441
492	1398	1438
493	1401	1435
494	1404	1432
495	1407	1429
496	1409	1426
497	1412	1424
498	1415	1421
499	1418	1418
500	1421	1415
501	1423	1412
502	1426	1409
503	1429	1406
504	1432	1404
505	1435	1401
506	1438	1398
507	1440	1395
508	1443	1392
509	1446	1389
510	1449	1386
511	1452	1384
512	1455	1381
513	1457	1378
514	1460	1375
515	1463	1372
516	1466	1369
517	1469	1367
518	1472	1364
519	1474	1361
520	1477	1358
521	1480	1355
522	1483	1352
523	1486	1350
524	1488	1347
525	1491	1344
526	1494	1341
527	1497	1338
528	1500	1336
529	1503	1333
530	1506	1330
531	1509	1327
532	1512	1324
533	1515	1322
534	1518	1319
535	1521	1317
536	1524	1314
537	1527	1311
538	1530	1309
539	1533	1306
540	1536	1303
541	1539	1301
542	1542	1298
543	1545	1295
544	1548	1293
545	1551	1290
546	1554	1287
547	1557	1284
548	1560	1282
549	1563	1279
550	1566	1276
551	1569	1274
552	1572	1271
553	1575	1268
554	1578	1265
555	1581	1263
556	1584	1260
557	1587	1257
558	1590	1254
559	1593	1251
560	1596	1249
561	1599	1246
562	1602	1243
563	1605	1240
564	1608	1238
565	1611	1235
566	1614	1232
567	1617	1230
568	1620	1227
569	1623	1224
570	1626	1221
571	1629	1219
572	1632	1216
573	1635	1213
574	1638	1211
575	1641	1208
576	1644	1205
577	1647	1202
578	1649	1199
579	1652	1196
580	1655	1193
581	1658	1191
582	1661	1188
583	1664	1185
584	1667	1182
585	1670	1179
586	1673	1177
587	1675	1174
588	1678	1171
589	1681	1168
590	1684	1165
591	1687	1162
592	1690	1160
593	1693	1157
594	1696	1154
595	1698	1151
596	1701	1148
597	1704	1145
598	1707	1143
599	1710	1140
600	1713	1137
601	1716	1134
602	1719	1131
603	1722	1129
604	1724	1126
605	1727	1123
606	1730	1120
607	1733	1117
608	1736	1114
609	1739	1112
610	1742	1109
611	1745	1106
612	1748	1103
613	1750	1100
614	1753	1097
615	1756	1095
616	1759	1092
617	1762	1089
618	1765	1086
619	1768	1083
620	1771	1080
621	1773	1078
622	1776	1075
623	1779	1072
624	1782	1069
625	1785	1066
626	1788	1063
627	1790	1060
628	1794	1058
629	1796	1055
630	1799	1052
631	1802	1049
632	1805	1046
633	1808	1043
634	1811	1041
635	1814	1038
636	1817	1035
637	1819	1032
638	1822	1029
639	1825	1026
640	1828	1024
641	1832	1021
642	1835	1019
643	1838	1016
644	1842	1013
645	1845	1011
646	1848	1008
647	1851	1005
648	1854	1003
649	1858	1000
650	1861	997
651	1864	995
652	1867	992
653	1870	989
654	1873	986
655	1876	983
656	1879	981
657	1882	978
658	1884	975
659	1887	972
660	1890	969
661	1893	966
662	1896	963
663	1899	961
664	1902	958
665	1905	955
666	1908	952
667	1910	949
668	1913	946
669	1916	944
670	1919	941
671	1922	938
672	1925	935
673	1928	932
674	1930	929
675	1933	926
676	1936	923
677	1939	921
678	1942	918
679	1945	915
680	1947	912
681	1950	909
682	1953	906
683	1956	903
684	1959	901
685	1962	898
686	1964	895
687	1967	892
688	1970	889
689	1973	886
690	1976	883
691	1979	880
692	1981	878
693	1984	875
694	1987	872
695	1990	869
696	1993	866
697	1996	863
698	1999	860
699	2001	857
700	2004	855
701	2007	852
702	2010	849
703	2013	846
704	2015	843
705	2018	840
706	2021	837
707	2024	834
708	2027	832
709	2030	829
710	2033	826
711	2035	823
712	2038	820
713	2041	817
714	2044	815
715	2047	812
716	2050	809
717	2053	806
718	2055	803
719	2058	800
720	2061	797
721	2064	794
722	2067	792
723	2070	789
724	2072	786
725	2075	783
726	2078	780
727	2081	777
728	2084	774
729	2087	771
730	2089	769
731	2092	766
732	2095	763
733	2098	760
734	2101	757
735	2103	754
736	2106	751
737	2109	748
738	2112	746
739	2115	743
740	2118	740
741	2121	737
742	2123	734
743	2126	731
744	2129	728
745	2132	726
746	2135	723
747	2138	720
748	2141	717
749	2143	714
750	2146	711
751	2149	708
752	2152	706
753	2155	703
754	2158	700
755	2161	697
756	2164	694
757	2166	691
758	2169	688
759	2172	686
